Module 1,,,,,,,,,,,,,,,
Introduction,,,,,,,,,,,,,,,
Module 2,,,,,,,,,,,,,,,
La représentation spatiale,,,,,,,,,,,,,,,
Module 3,,,,,,,,,,,,,,,
Systèmes de coordonnées de référence,,,,,,,,,,,,,,,
Module 4,,,,,,,,,,,,,,,
Données vectorielles,,,,,,,,,,,,,,,
Module 5,,,,,,,,,,,,,,,
Données matricielles,,,,,,,,,,,,,,,
Travail noté 1: 20 %,,,,,X,,,,,,,,,,
Module 6,,,,,,,,,,,,,,,
Cartographie,,,,,,,,,,,,,,,
Travail noté 2: 20 %,,,,,,,,X,,,,,,,
Module 7,,,,,,,,,,,,,,,
Opérations sur les  données  vectorielles,,,,,,,,,,,,,,,
Module 8,,,,,,,,,,,,,,,
Opérations sur les données matricielles ,,,,,,,,,,,,,,,
Travail noté 3: 20 %,,,,,,,,,,,,X,,,
Module 9,,,,,,,,,,,,,,,
Opérations sur les données spatio-temporelles,,,,,,,,,,,,,,,
Examen: 40 %,,,,,,,,,,,,,,,X
