"munnom","regadm","mpopul","msuperf"
"Abercorn","Montérégie (16)",344,27
"Acton Vale","Montérégie (16)",7733,91.1
"Adstock","Chaudière-Appalaches (12)",2768,306.2
"Aguanish","Côte-Nord (09)",238,680.6
"Akulivik","Nord-du-Québec (10)",678,82.3
"Albanel","Saguenay--Lac-Saint-Jean (02)",2232,205
"Albertville","Bas-Saint-Laurent (01)",227,104.7
"Alleyn-et-Cawood","Outaouais (07)",172,325.9
"Alma","Saguenay--Lac-Saint-Jean (02)",30831,232.6
"Amherst","Laurentides (15)",1459,249.5
"Amos","Abitibi-Témiscamingue (08)",12769,437.2
"Amqui","Bas-Saint-Laurent (01)",6065,128.3
"Ange-Gardien","Montérégie (16)",2861,90.3
"Armagh","Chaudière-Appalaches (12)",1502,170.6
"Arundel","Laurentides (15)",560,66.8
"Asbestos","Estrie (05)",6837,31.8
"Ascot Corner","Estrie (05)",3255,85.4
"Aston-Jonction","Centre-du-Québec (17)",430,26
"Auclair","Bas-Saint-Laurent (01)",455,109.7
"Audet","Estrie (05)",757,133.7
"Aumond","Outaouais (07)",766,227.6
"Aupaluk","Nord-du-Québec (10)",224,32.7
"Austin","Estrie (05)",1577,86.2
"Authier","Abitibi-Témiscamingue (08)",266,143.5
"Authier-Nord","Abitibi-Témiscamingue (08)",292,297.2
"Ayer's Cliff","Estrie (05)",1131,7.4
"Baie-Comeau","Côte-Nord (09)",21082,434.5
"Baie-des-Sables","Bas-Saint-Laurent (01)",634,65.3
"Baie-du-Febvre","Centre-du-Québec (17)",955,173.4
"Baie-D'Urfé","Montréal (06)",3922,8
"Baie-Johan-Beetz","Côte-Nord (09)",85,532.1
"Baie-Sainte-Catherine","Capitale-Nationale (03)",197,421
"Baie-Saint-Paul","Capitale-Nationale (03)",7168,565.7
"Baie-Trinité","Côte-Nord (09)",389,538.6
"Barkmere","Laurentides (15)",57,24.9
"Barnston-Ouest","Estrie (05)",554,99.8
"Barraute","Abitibi-Témiscamingue (08)",1984,507.8
"Batiscan","Mauricie (04)",899,58.7
"Beaconsfield","Montréal (06)",19977,24.4
"Béarn","Abitibi-Témiscamingue (08)",711,552.5
"Beauceville","Chaudière-Appalaches (12)",6297,166.4
"Beauharnois","Montérégie (16)",13374,83.4
"Beaulac-Garthby","Chaudière-Appalaches (12)",972,93.9
"Beaumont","Chaudière-Appalaches (12)",2984,44.8
"Beaupré","Capitale-Nationale (03)",3847,27
"Bécancour","Centre-du-Québec (17)",13543,495.3
"Bedford","Montérégie (16)",2556,4.4
"Bedford","Montérégie (16)",698,32.3
"Bégin","Saguenay--Lac-Saint-Jean (02)",828,197.5
"Belcourt","Abitibi-Témiscamingue (08)",217,423.8
"Belleterre","Abitibi-Témiscamingue (08)",296,607
"Beloeil","Montérégie (16)",24066,25.4
"Berry","Abitibi-Témiscamingue (08)",542,580
"Berthier-sur-Mer","Chaudière-Appalaches (12)",1635,26.9
"Berthierville","Lanaudière (14)",4346,7.2
"Béthanie","Montérégie (16)",315,46.9
"Biencourt","Bas-Saint-Laurent (01)",434,189.5
"Blainville","Laurentides (15)",60838,55.4
"Blanc-Sablon","Côte-Nord (09)",1093,381.9
"Blue Sea","Outaouais (07)",656,87.5
"Boileau","Outaouais (07)",336,140.9
"Boisbriand","Laurentides (15)",26899,29.5
"Boischatel","Capitale-Nationale (03)",8103,21.6
"Bois-des-Filion","Laurentides (15)",9970,4.9
"Bois-Franc","Outaouais (07)",412,74.3
"Bolton-Est","Estrie (05)",1028,81
"Bolton-Ouest","Montérégie (16)",634,101.9
"Bonaventure","Gaspésie--Îles-de-la-Madeleine (11)",2690,108.2
"Bonne-Espérance","Côte-Nord (09)",659,1215.7
"Bonsecours","Estrie (05)",624,61.1
"Boucherville","Montérégie (16)",42714,80.9
"Bouchette","Outaouais (07)",667,143.2
"Bowman","Outaouais (07)",670,164.9
"Brébeuf","Laurentides (15)",1037,37.8
"Brigham","Montérégie (16)",2318,88.1
"Bristol","Outaouais (07)",1042,234.9
"Brome","Montérégie (16)",293,11.5
"Bromont","Montérégie (16)",10167,115.7
"Brossard","Montérégie (16)",89092,52.1
"Brownsburg-Chatham","Laurentides (15)",7269,254.7
"Bryson","Outaouais (07)",700,3.7
"Bury","Estrie (05)",1139,235.1
"Cacouna","Bas-Saint-Laurent (01)",1834,174.9
"Calixa-Lavallée","Montérégie (16)",528,32.8
