"Capitales","Longitude","Latitude"
"Auckland","174.7833","-36.8500"
"Wellington","174.7772","-41.2889"
"Christchurch","172.6365","-43.5309"
"Hamilton","175.2833","-37.7833"
"Dunedin","170.5000","-45.8667"
"Palmerston North","175.6095","-40.3549"
"Napier","176.9167","-39.4833"
"Whangarei","174.3236","-35.7250"
"Invercargill","168.3620","-46.4290"
"Nelson","173.2381","-41.2931"
"Gisborne","178.0178","-38.6625"
"Blenheim","173.9500","-41.5167"
"Richmond","173.1833","-41.3333"
"Whakatane","176.9840","-37.9640"
"Greymouth","171.2000","-42.4667"
"Stratford","174.2840","-39.3410"
